epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.291514,0.235300,0.764700,1.756895,0.342750,0.657250
2,1.600185,0.410200,0.589800,1.442283,0.459250,0.540750
3,1.379364,0.496300,0.503700,1.390888,0.491000,0.509000
4,1.252090,0.552050,0.447950,1.187360,0.570750,0.429250
5,1.124113,0.598700,0.401300,1.081477,0.608750,0.391250
6,1.021364,0.637350,0.362650,1.045170,0.621250,0.378750
7,0.955432,0.661850,0.338150,1.124477,0.607250,0.392750
8,0.896535,0.681050,0.318950,0.926787,0.674000,0.326000
9,0.818554,0.709250,0.290750,0.940626,0.678500,0.321500
10,0.746979,0.738800,0.261200,0.894201,0.693000,0.307000
