epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.386514,0.209150,0.790850,1.842148,0.316000,0.684000
2,1.780493,0.360450,0.639550,1.523258,0.438750,0.561250
3,1.621118,0.440300,0.559700,1.479796,0.447750,0.552250
4,1.524957,0.486000,0.514000,1.244735,0.552000,0.448000
5,1.429756,0.527550,0.472450,1.170551,0.584750,0.415250
6,1.349055,0.566500,0.433500,1.123194,0.606000,0.394000
7,1.293150,0.584400,0.415600,1.133521,0.604500,0.395500
8,1.232041,0.609900,0.390100,1.016655,0.652250,0.347750
9,1.180643,0.631500,0.368500,1.019406,0.647250,0.352750
10,1.130354,0.648650,0.351350,0.945544,0.677750,0.322250
11,1.061033,0.676900,0.323100,0.973019,0.660250,0.339750
12,1.030435,0.683650,0.316350,0.956084,0.672000,0.328000
13,0.968009,0.709650,0.290350,0.867688,0.703750,0.296250
14,0.910063,0.725550,0.274450,0.873491,0.704250,0.295750
15,0.870847,0.738550,0.261450,0.918061,0.696250,0.303750
16,0.810735,0.751400,0.248600,0.915319,0.693750,0.306250
17,0.755661,0.773150,0.226850,0.901664,0.700500,0.299500
18,0.698221,0.789300,0.210700,0.931308,0.688000,0.312000
19,0.625660,0.813600,0.186400,0.927750,0.702250,0.297750
20,0.575357,0.821450,0.178550,0.933657,0.701500,0.298500
21,0.508026,0.844200,0.155800,0.953577,0.706750,0.293250
22,0.458894,0.856750,0.143250,0.929882,0.710750,0.289250
23,0.379421,0.883000,0.117000,1.007069,0.704000,0.296000
24,0.351376,0.888400,0.111600,0.992468,0.710750,0.289250
25,0.313033,0.896450,0.103550,1.082292,0.698000,0.302000
26,0.258544,0.915500,0.084500,1.086220,0.706000,0.294000
27,0.229237,0.923700,0.076300,1.112913,0.708000,0.292000
28,0.194825,0.934050,0.065950,1.179276,0.701250,0.298750
29,0.183441,0.938600,0.061400,1.197375,0.701750,0.298250
30,0.150524,0.949300,0.050700,1.228500,0.703750,0.296250
31,0.150187,0.949300,0.050700,1.227809,0.697000,0.303000
32,0.118946,0.960200,0.039800,1.248009,0.713500,0.286500
33,0.103541,0.966900,0.033100,1.286333,0.701500,0.298500
34,0.100357,0.966300,0.033700,1.281128,0.698500,0.301500
35,0.121445,0.958500,0.041500,1.339942,0.702500,0.297500
36,0.095474,0.967550,0.032450,1.326691,0.700750,0.299250
37,0.077196,0.974600,0.025400,1.386765,0.701250,0.298750
38,0.073957,0.975850,0.024150,1.366569,0.695750,0.304250
39,0.071652,0.975700,0.024300,1.377387,0.705750,0.294250
40,0.068571,0.978100,0.021900,1.448211,0.682000,0.318000
41,0.090257,0.969500,0.030500,1.473593,0.689000,0.311000
42,0.071160,0.975200,0.024800,1.399256,0.705750,0.294250
43,0.065541,0.976700,0.023300,1.481246,0.701000,0.299000
44,0.068775,0.977400,0.022600,1.387970,0.716500,0.283500
45,0.064026,0.978900,0.021100,1.446553,0.711500,0.288500
46,0.053907,0.981350,0.018650,1.431196,0.705500,0.294500
47,0.056000,0.981600,0.018400,1.498172,0.700250,0.299750
48,0.049113,0.982750,0.017250,1.525330,0.705250,0.294750
49,0.056432,0.981100,0.018900,1.493898,0.702750,0.297250
50,0.049477,0.982800,0.017200,1.526717,0.703000,0.297000
51,0.054760,0.982400,0.017600,1.539162,0.702750,0.297250
52,0.066026,0.978400,0.021600,1.538977,0.699000,0.301000
53,0.057673,0.980650,0.019350,1.582951,0.698500,0.301500
54,0.065908,0.977800,0.022200,1.512944,0.707750,0.292250
55,0.054178,0.982300,0.017700,1.529616,0.710000,0.290000
56,0.051918,0.982650,0.017350,1.527752,0.702250,0.297750
57,0.044133,0.984500,0.015500,1.528446,0.705250,0.294750
58,0.039522,0.986300,0.013700,1.482879,0.718250,0.281750
59,0.033387,0.988450,0.011550,1.583845,0.709250,0.290750
60,0.032967,0.988950,0.011050,1.687044,0.697750,0.302250
61,0.033333,0.988100,0.011900,1.690140,0.707000,0.293000
62,0.049625,0.983050,0.016950,1.648342,0.701000,0.299000
63,0.041207,0.985600,0.014400,1.620742,0.702500,0.297500
64,0.042173,0.985300,0.014700,1.666503,0.703750,0.296250
65,0.044816,0.985000,0.015000,1.646491,0.707500,0.292500
66,0.070605,0.976250,0.023750,1.759307,0.687250,0.312750
67,0.061039,0.979500,0.020500,1.653973,0.704000,0.296000
68,0.040692,0.986000,0.014000,1.642349,0.714750,0.285250
69,0.034373,0.989150,0.010850,1.625702,0.710750,0.289250
70,0.035747,0.987850,0.012150,1.647537,0.701500,0.298500
71,0.041611,0.985000,0.015000,1.704609,0.713750,0.286250
72,0.040414,0.985600,0.014400,1.653457,0.716500,0.283500
73,0.047571,0.984100,0.015900,1.667230,0.701750,0.298250
74,0.039555,0.987700,0.012300,1.689625,0.702500,0.297500
75,0.048833,0.983250,0.016750,1.735327,0.707250,0.292750
76,0.050081,0.983200,0.016800,1.751160,0.698500,0.301500
77,0.042574,0.986000,0.014000,1.722908,0.704000,0.296000
78,0.059500,0.979650,0.020350,1.703991,0.708250,0.291750
79,0.028915,0.990000,0.010000,1.698002,0.706000,0.294000
80,0.029828,0.990100,0.009900,1.737717,0.705750,0.294250
81,0.031809,0.988900,0.011100,1.714515,0.712000,0.288000
